A0.	Creator.
D1880.	Magic rejuvenation
D1881.	Magic self-rejuvenation.
D1882.	Rejuvenation by supernatural person.
D1882.1.	Rejuvenation by saint.
D1882.2.	Rejuvenation by fairy.
D1883.	Eternal youth.
D1884.	Rejuvenation by dismemberment.
D1885.	Rejuvenation by boiling.
D1885.1.	Rejuvenation by dismemberment and boiling.
D1886.	Rejuvenation by burning.
D1886.1.	Rejuvenation by burning and throwing bones into tub of milk.
D1887.	Rejuvenation by bathing.
D1889.	Miscellaneous means of rejuvenation.
D1889.1.	Rejuvenation by reading in book.
D1889.2.	Rejuvenation by looking into mirror.
D1889.3.	Rejuvenation by song of pelican.
D1889.4.	Rejuvenation by smelling apple.
D1889.5.	Rejuvenation by going to other world and having digestive tract removed.
D1889.6.	Rejuvenation by changing skin.
D1889.7.	Rejuvenation by being reborn.
D1889.8.	Rejuvenation by riding surf.
D1889.9.	Rejuvenation by drinking from magic horn.
D1889.10.	Rejuvenation by conjuring.
D1889.11.	Rejuvenation by jumping over cliff.
D1890.	Magic aging
D1891.	Transformation to old man to escape recognition.
D1895.	Magic aging by bathing.
D1896.	Magic aging by contact with earth after otherworld journey.
D1897.	Youngest of the three Magi becomes the senior through power of the Savior.
D1900.	Love induced by magic
D1900.0.1.	Love purified by magic.
D1900.1.	Favor with royalty induced by magic.
D1901.	Witches induce love.
D1903.	Power of inducing love given by animals.
D1904.	Love-compelling man sickens of bargain.
D1905.	Means of inducing love.
D1905.1.	Girl's heart magically removed and fed to man draws her to him.
D1905.2.	Apple divided and eaten as love charm.
D1905.3.	Love by curse.
D1908.	Love lost by magic.
D1908.1.	Husband's love magically turns to hatred.
D1910.	Magic memory
D1910.0.1.	Book written by man with marvelous memory.
D1911.	Person remembers all he has ever learned.
D1920.	Other permanent magic characteristics.
D1921.	Magic carrying power of voice.
D1922.	Magic power of hearing.
D1923.	Power to hit whatever one aims at.
D1924.	Magic immunity from fatigue.
D1925.	Fecundity magically induced.
D1925.1.	Barrenness removed by eating or drinking.
D1925.2.	Barrenness removed by bathing.
D1925.3.	Barrenness removed by prayer.
D1925.4.	Barrenness removed by saint's blessing.
D1926.	Craftsmanship magically bestowed by saint.
D1927.	Appetite magically diminished.
D1931.	Hate induced by magic.
D1932.	Druids can pass through trees.
D1933.	Magic power of lighting empty lamp by breathing on it used for divination.
D1935.	Any work touched automatically done.
D1936.	Magic fleetness of foot.
D1936.1.	Donning skin makes woman fleet.
D1960.	Magic sleep
D1960.1.	Seven sleepers.
D1960.1.1.	Mighty sleeper.
D1960.2.	Kyffhäuser.
D1960.2.1.	King asleep in mountain will awake when his horse's shoes are worn down.
D1960.3.	Sleeping Beauty.
D1960.4.	Deathlike sleep.
D1961.	Sleepless watcher magically put to sleep.
D1962.	Means of inducing magic sleep.
D1962.1.	Magic sleep through curse.
D1962.2.	Magic sleep by lousing.
D1962.3.	Magic sleep by hairdressing.
D1962.3.1.	Magic sleep brought on by combing hero's hair lasts six months.
D1962.4.	Magic sleep by hypnotic suggestion.
D1962.4.1.	Lulling to sleep by "sleepy" stories (songs).
D1962.4.2.	Song (crónán) used to lull children to sleep.
D1962.5.	Snakes put to sleep by music on harp.
D1962.6.	Magic sleep from breaking tabu.
D1962.6.1.	Magic sleep when hero breaks fruit open too soon.
D1964.	Magic sleep induced by certain person.
D1964.1.	Savage elephant lulled to sleep by virgin.
D1964.2.	Magic sleep induced by disappointed suitor.
D1964.3.	Magic sleep induced by abductor.
D1964.4.	Magic sleep induced by druid.
D1964.5.	Magic sleep induced by saint.
D1964.6.	Magic sleep induced by deity.
D1965.	Guardian magically made to sleep while girl goes to lover.
D1965.1.	Guardian magically made to sleep while lover visits maiden.
D1967.	Person in magic sleep surrounded by protecting fire.
D1967.1.	Person in magic sleep surrounded by protecting hedge.
D1971.	Three-fold magic sleep.
D1978.4.	Hero wakened from magic sleep by wife who has purchased place in his bed from false bride.
D1972.	Lover's magic sleep at rendezvous.
D1973.	Magic sleep: in order to sleep off period of enchantment.
D1975.	Dragon-fighter's magic sleep.
D1976.	Experiences during magic sleep.
D1976.1.	Transportation during magic sleep.
D1976.2.	Future spouse met during magic sleep.
D1978.	Waking from sleep.
D1978.1.	Waking from magic sleep by cutting off finger.
D1978.2.	Waking from magic sleep by letting tear fall on sleeper.
D1978.3.	Waking from magic sleep by removal of enchanting instrument.
D1978.4.	Hero wakened from magic sleep by wife who has purchased place in his bed from false bride.
D1978.5.	Waking from magic sleep by kiss.
D1980.	Magic invisibility
D1981.	Certain persons invisible.
D1981.1.	Magic invisibility of gods.
D1981.2.	Magic invisibility of saints.
D1981.3.	Magic invisibility of druids.
D1981.4.	Magic invisibility of ogre.
D1981.5.	Magic invisibility of priests.
D1981.6.	Magic invisibility of angels.
D1982.	Certain objects invisible.
D1982.1.	Magic door invisible to women.
D1982.2.	Ship made invisible.
D1982.3.	Chariot made invisible.
D1982.4.	Food and drink appear and disappear in otherworld.
D1982.5.	Boat made invisible.
D1983.	Invisibility conferred on person.
D1983.1.	Invisibility conferred by a god.
D1983.2.	Invisibility conferred by fairy.
D1985.	Means of acquiring invisibility.
D1985.1.	Invisibility by scarification.
D1985.2.	Invisibility by reciting formula backwards.
D2000.	Magic forgetfulness
D2003.	Forgotten fiancée.
D2003.1.	Husband magically forgets wife.
D2004.	Means of bringing about magic forgetfulness.
D2004.1.	Curse of forgetfulness.
D2004.2.	Kiss of forgetfulness.
D2004.2.1.	Dog's licking of man produces forgetfulness.
D2004.3.	Forgetfulness by eating.
D2004.3.1.	Forgetfulness by drinking.
D2004.4.	Forgetfulness by spitting.
D2004.5.	Forgetting by stumbling.
D2004.5.1.	Forgetting by stepping over log.
D2004.6.	Magic forgetting of wife when husband removes shirt she has given him.
D2004.7.	Forgetfulness from fright.
D2004.8.	Forgetfulness by mourning.
D2004.9.	Forgetfulness caused by specific place.
D2004.9.1.	Forgetfulness caused by Tower of Babel.
D2004.10.	Barking of brazen dogs causes forgetfulness.
D2006.	Magic reawakening of memory.
D2006.1.	Forgotten fiancée reawakens husband
D2006.1.1.	Forgotten fiancée reawakens husband
D2006.1.2.	Forgotten fiancée reawakens husband
D2006.1.3.	Forgotten fiancée reawakens husband
D2006.1.4.	Forgotten fiancée buys place in husband
D2006.1.5.	Forgotten fiancée attracts attention by magically stopping wedding carriage of new bride.
D2006.1.6.	Forgotten fiancée remembered by means of doll.
D2006.1.7.	Forgotten fiancée remembered by means of bird.
D2006.1.8.	Piece of wood revives memory.
D2006.1.9.	Forgotten wife remembered by seeing her initials.
D2006.1.10.	Forgotten wife gives food to beggar: husband's memory reawakened.
D2006.2.	Sight of old home reawakens memory and brings about return from other world.
D2006.2.1.	Longing of human child of sky-mother to visit father on earth.
D2011.	Years thought days.
D2011.1.	Years seem moments while man listens to song of bird.
D2011.1.1.	Day seems moment while saint listens to music made by bird's wing.
D2011.1.2.	Three days and three nights seem one hour as saint preaches.
D2011.2.	Two friars perceive no passing of time from Shrovetide till following Easter while they talk of Christ.
D2011.3.	Years are as moments to creator.
D2012.	Moments thought years.
D2012.1.	King in the bath; years of experience in a moment.
D2012.2.	Wizard gives man the illusion that he has been away twenty (forty) years.
D2020.	Magic dumbness
D2021.	Causes of magic dumbness.
D2021.1.	Dumbness as curse.
D2025.	Magic recovery of speech.
D2025.0.1.	Magic (loss and) recovery of speech.
D2025.1.	Speech magically recovered on execution stake.
D2025.2.	Speech magically recovered when certain bird is caught.
D2025.3.	Speech magically recovered when third person guesses secret transaction.
D2025.4.	Dumbness magically cured by astonishment.
D2025.5.	Speech magically recovered on Hallowe'en.
D2030.	Other temporary magic characteristics.
D2031.	Magic illusion.
D2031.0.1.	Saints cause illusions.
D2031.0.2.	Fairies cause illusions.
D2031.0.3.	Magic illusion dissipated by sign of the cross.
D2031.0.4.	Druids cause illusions.
D2031.0.5.	Giantess' punishment is pure illusion.
D2031.1.	Magician makes people lift garments to avoid wetting in imaginary river.
D2031.1.2.	People swim in imaginary rising river.
D2031.2.	Thread made to appear as a large log carried by a cock.
D2031.3.	Pursued animal runs through imaginary river.
D2031.4.	Hideous person magically makes self seem beautiful.
D2031.4.1.	Druid makes self appear ugly on one side, beautiful on other.
D2031.4.2.	Magician appears as swineherd, dwarf, and giant in order to seduce queen and scorns her later in the same shapes.
D2031.4.3.	Magician appears as beggar or old man in order to free prisoners.
D2031.5.	Man magically made to believe himself bishop, archbishop, and pope.
D2031.6.	Magic illusion as protection.
D2031.6.1.	Man made to appear to pursuers as woman carrying babe.
D2031.6.2.	Son made to appear to pursuers as spinning wheel, buck, and hog.
D2031.6.3.	Lonesome wife scares robbers by making it appear that her husband is at home.
D2031.6.4.	Pursuers confused in other ways by magic illusion.
D2031.7.	Horse made to appear as tree-trunk.
D2031.8.	Armies separated with illusion that each has won object of contention.
D2031.9.	Enemy's last arrow made to appear crooked so that he does not use it, and adversary gets time to kill him.
D2031.10.	Spear made to appear as a reed in order to kill treacherously.
D2031.11.	Illusive fire stops men.
D2031.12.	Sea water made to behave like solid earth.
D2031.13.	Magic rath always seems distant, never near.
D2031.14.	Illusion: mountains seem to be fighting.
D2031.15.	Goat appears to be two every time man aims.
D2031.16.	Vision of food arises to tempt fasting women.
D2031.17.	Storm appears to be island.
D2031.18.	Person appears to be in several places at once.
D2032.	Magic avoidance of fatigue.
D2033.	Thirst magically caused to disappear.
D2034.	Crying induced by magic as trick to force child's mother.
D2035.	Magic heaviness.
D2036.	Magic homesickness.
D2038.	Animal becomes magically larger.
D2038.1.	Centipede becomes large enough to kill demon.
D2050.	Destructive magic power.
D2060.	Death or bodily injury by magic
D2061.	Magic murder.
D2061.1.	Kinds of death produced by magic.
D2061.1.1.	Person magically reduced to ashes.
D2061.1.1.1.	Person magically reduced to pile of bones.
D2061.1.2.	Persons magically caused to dance selves to death.
D2061.1.3.	Poisoning by magic.
D2061.1.4.	Persons magically made to decay and die.
D2061.1.5.	Plague magically invoked.
D2061.2.	Means employed in magic murder.
D2061.2.1.	Death-giving glance.
D2061.2.1.1.	Evil eye sets bird on fire.
D2061.2.2.	Murder by sympathetic magic.
D2061.2.2.1.	Person whose shadow is pierced by spear falls dead.
D2061.2.2.2.	Spell chanted over person's shadow brings death.
D2061.2.2.3.	Murder by abuse or destruction of image.
D2061.2.2.4.	Body of victim abused.
D2061.2.2.4.1.	Hair of victim burned, causing his death.
D2061.2.2.5.	Murder by abuse of clothing of victim.
D2061.2.2.5.1.	Murder by boiling gloves of victim.
D2061.2.2.6.	Candle burned causes victim to waste away.
D2061.2.2.7.	Animals abused or destroyed to cause death of person.
D2061.2.2.8.	Miscellaneous objects abused to cause death.
D2061.2.2.8.1.	Needle, placed under hearth, burns and causes death of victim.
D2061.2.3.	Murder by pointing.
D2061.2.4.	Death by cursing.
D2061.2.4.1.	Death in sin (damnation) by cursing.
D2061.2.4.2.	Curse of clergy causes man to die of wound.
D2061.2.5.	Hunter reduced to ashes by power of heroine's chastity.
D2061.2.6.	Person killed by spike magically made to appear on chair.
D2061.2.7.	Murder by showing man caul with which he was born.
D2061.2.8.	Horse made to hang himself on gate by magic.
D2061.2.9.	Breathing on enemy drives him onto knife.
D2062.	Maiming by magic.
D2062.1.	Heart removed by magic.
D2062.2.	Blinding by magic.
D2062.2.1.	Blinding by curse.
D2062.2.1.1.	Person suffers from "crookedness in his eye" as result of curse.
D2062.2.2.	Sight of holy person causes blindness.
D2062.2.3.	Person caused to squint as punishment.
D2062.2.4.	Enemies magically caused to lose sight of each other while hunting.
D2062.2.5.	Magic blindness by snake bite.
D2062.2.6.	When certain thief coughs, watchmen become blind.
D2062.3.	Flesh magically does not regrow.
D2062.4.	Magic mutilation: sexual organs.
D2062.4.1.	Bride enchanted by witch loses her sexual organs.
D2062.4.2.	Castration by magic.
D2062.5.	Magic mutilation: temporary growths on person.
D2063.	Magic discomfort.
D2063.1.	Tormenting by magic.
D2063.1.1.	Tormenting by sympathetic magic.
D2063.2.	Magic restlessness in bed.
D2063.3.	Magic insatiable thirst.
D2063.3.1.	Druids cause magic thirst.
D2063.3.1.1.	Saints cause magic thirst.
D2063.4.	Magic scratching (itching).
D2063.5.	Magic discomfort: continued breaking of wind.
D2063.6.	Man magically made to bark like dog.
D2064.	Magic sickness.
D2064.0.1.	Magic love-sickness.
D2064.0.2.	Magic heart-sickness.
D2064.0.3.	Magic pestilence.
D2064.1.	Magic sickness because girl has thrown away her consecrated wafer.
D2064.2.	Sickness of princess dependent on witch's fire.
D2064.3.	Sickness transferred to animal.
D2064.4.	Magic sickness because of Evil Eye.
D2064.5.	Magic sickness from curse.
D2064.6.	Magic sickness from wounding sick person.
D2064.7.	Magic sickness from bit of weapon left in head.
D2064.8.	Magic sickness by making fruit plant dry and shrivel.
D2065.	Magic insanity.
D2065.1.	Madness from demonic possession.
D2065.2.	Insanity from seeing strange sight.
D2065.2.1.	Magic insanity caused by hearing strange sound.
D2065.3.	Druids bereave men of senses.
D2065.4.	Insanity of princess dependent on height of fire.
D2065.5.	Insanity because of Evil Eye.
D2065.6.	Person abducted by Echo crazed and dumb.
D2065.7.	Insanity from curse.
D2066.	Elfshot.
D2066.1.	Elves get stones from fairies who get them from mermaids.
D2069.	Death or bodily injury by magic--miscellaneous.
D2069.1.	Person magically caused to fall.
D2069.1.1.	Person made to fall down by pointing at door.
D2069.2.	People magically compelled to bend arm.
D2070.	Bewitching
D2070.1.	Magic hair-ball used for bewitching.
D2071.	Evil Eye.
D2071.0.1.	Evil eye covered with seven veils.
D2071.0.1.1.	Evil eye covered with bag or hide while owner is stoned.
D2071.0.2.	Evil eye from exposure to magic concoction.
D2071.0.3.	Man with power of evil eye cannot look at any living thing before breaking fast in the morning without causing it to wither and die.
D2071.1.	Averting Evil Eye.
D2071.1.1.	Evil eye averted by spitting.
D2071.1.2.	Evil eye averted by swinging cat over child's cradle.
D2071.1.3.	Simulated change of sex to baffle Evil Eye.
D2071.1.4.	Black as guard against Evil Eye.
D2071.1.5.	Countermagic against Evil Eye: returning glance of Evil Eye blights the original glancer.
D2071.2.	Person kills with Evil Eye.
D2071.2.1.	Person kills animals with glance of Evil Eye.
D2072.	Magic paralysis.
D2072.0.1.	Sword made magically helpless.
D2072.0.2.	Animal rendered immovable.
D2072.0.2.1.	Horse enchanted so that he stands still.
D2072.0.2.1.1.	Horse (ox) unable to move wagon paralyzed by witch.
D2072.0.2.2.	Bird paralyzed.
D2072.0.2.2.1.	Person charged with keeping birds from the crops confines them in barn (usually roofless) by magic while he goes to town.
D2072.0.2.3.	Oxen paralyzed.
D2072.0.2.4.	Mule paralyzed by witch.
D2072.0.2.5.	Pigs paralyzed by witch.
D2072.0.2.6.	Dog paralyzed.
D2072.0.3.	Ship held back by magic.
D2072.0.4.	Bird overpowered by stepping on his shadow.
D2072.0.5.	Person paralyzed.
D2072.0.5.1.	Witch prevents person from drinking.
D2072.0.5.2.	Person who yawns cannot close mouth.
D2072.0.5.3.	Magic paralysis of tongue of a talkative wife.
D2072.1.	Magic paralysis by Evil Eye.
D2072.2.	Magic paralysis by curse.
D2072.2.1.	Charm used by witch to cause paralysis.
D2072.3.	Magic paralysis caused by saint.
D2072.4.	Magic prevention of performance of task.
D2072.5.	Robber-proof house: thieves are petrified when they enter house for unlawful purposes; are fed and welcomed, otherwise.
D2072.6.	Paralysis by singing magic song.
D2074.	Attracting by magic.
D2074.1.	Animals magically called.
D2074.1.1.	Mammals magically called.
D2074.1.1.1.	Buffalo magically called.
D2074.1.1.2.	Deer summoned by singing.
D2074.1.1.3.	Bear summoned by magic.
D2074.1.2.	Fish or sea animals magically called.
D2074.1.2.1.	Coyote calls the largest fish.
D2074.1.3.	Birds magically called.
D2074.2.	Magic means of attracting.
D2074.2.1.	Person summoned by thinking of him.
D2074.2.2.	Summoning by burning hair.
D2074.2.2.1.	Long-plaited hair struck on ground summons female goddess to aid of owner.
D2074.2.3.	Summoning by wish.
D2074.2.3.1.	Mistress summoned by wish.
D2074.2.3.2.	Ship summoned by wish.
D2074.2.4.	Genie called by writing his name on papers and burning them.
D2074.2.4.1.	Foster-mother summoned by saying her name.
D2074.2.4.2.	Animals summoned by pronouncing their names.
D2074.2.4.3.	Helper summoned by calling his name.
D2074.2.4.4.	Order for spirit's help left on card.
D2074.2.5.	Summoning by prayer.
D2074.2.5.1.	Imprisoned cleric comes to answer saint's prayers in ritual.
D2076.	Saint magically causes druids to bless instead of curse.
D2078.	Imprisoning by magic.
D2078.1.	Witch made to enter boulder magically and imprisoned therein.
D2079.	Other forms of bewitching.
D2079.1.	Magic compulsion to break wind under certain conditions.
D2080.	Magic used against property.
D2081.	Land made magically sterile.
D2081.1.	Earth dried up in three years while hero is under earth.
D2082.	Trees killed by magic.
D2082.0.1.	Trees magically made fruitless.
D2082.0.2.	Tree magically withers.
D2082.1.	Magic glance reduces tree to ashes.
D2082.2.	Anchorite consumes tree by one blast of his fiery breath.
D2083.	Evil magic in the dairy.
D2083.1.	Cows magically made dry.
D2083.2.	Cows made to give bad milk.
D2083.2.1.	Witches make cows give bloody milk.
D2083.2.2.	Witch causes cow to give curdled milk.
D2083.3.	Milk transferred from another's cow by magic.
D2083.3.1.	Milk transferred from another's cow by squeezing an axehandle (or the like).
D2083.3.2.	Witch transfers milk from another's cows by use of hair rope.
D2083.3.3.	Witch transfers milk from another's cows to a vessel.
D2083.4.	Butter transferred from another by magic.
D2084.	Industrial processes magically interrupted.
D2084.1.	Beer magically kept from brewing.
D2084.2.	Butter magically kept from coming.
D2084.3.	Saint causes dyes to work incorrectly.
D2085.	Game animals magically made overwary.
D2085.1.	Curse (by saint) makes river (lake) barren of fish.
D2086.	Weapons magically dulled.
D2086.1.	Sword magically dulled.
D2086.1.1.	Execution sword turned to wood.
D2086.2.	Guns rendered ineffective by witch.
D2086.3.	Weapons magically blown out of enemies' hands.
D2087.	Theft by magic.
D2087.1.	Crops stolen by magic.
D2087.2.	Hunter's prey stolen during night by magic.
D2087.3.	Sheep or cattle disappear every night.
D2087.3.1.	Cow and cowherd disappear every New Year's night.
D2087.4.	Men disappear every night.
D2087.5.	Gold stolen by magic.
D2087.6.	Food stolen by magic.
D2087.7.	Witches rifle drawers of chests in house.
D2087.8.	Witch steals potatoes, leaving no traces.
D2088.	Locks opened by magic.
D2088.0.1.	All locks opened on the night of Christ's Nativity.
D2088.1.	Fairy gains entrance to locked city.
D2089.	Magic used against property--miscellaneous.
D2089.1.	Man makes all of iron in enemy's storehouse disappear so weapons cannot be made.
D2089.2.	Curse makes stones useless.
D2089.3.	Animals magically stricken dead.
D2089.3.1.	Swine magically kept from fattening.
D2089.4.	Saint causes mill to turn backwards.
D2089.5.	Books illegible as result of curse.
D2089.6.	House destroyed by magic.
D2089.7.	Goods magically diminish.
D2089.7.1.	Food dwindles as soon as it is cooked.
D2089.8.	Clothes burned by magic.
D2089.9.	Trail magically closed.
D2089.9.1.	Trail magically covered with thorns.
D2089.10.	Fire drills magically made not to function.
D2090.	Other destructive magic powers.
D2091.	Magic attack against enemy.
D2091.1.	Magic fire drawn down on foe.
D2091.2.	Magic plague of frogs drawn down on foe.
D2091.2.1.	Magic army of snakes and frogs drawn down on foe.
D2091.3.	Streams of blood magically drawn down on foe.
D2091.4.	Magic causes enemies to fight among selves.
D2091.5.	Storms magically drawn down on foe.
D2091.6.	Enemies magically made to feel thirst.
D2091.7.	Magic lake (river) sent against enemy.
D2091.7.1.	River magically caused to rise against enemy.
D2091.8.	Magic drought to destroy enemy.
D2091.8.1.	Druids dry up water in enemy's camp.
D2091.9.	Magic paralysis drawn down on foe.
D2091.10.	Magic heat causes enemies to melt away.
D2091.10.1.	Stones, etc., magically made to burn feet of enemies.
D2091.11.	Black cloud magically blown upon enemy.
D2091.12.	Plants and animals magically caused to shriek, frightening enemy.
D2091.13.	Army stopped by saint's curse.
D2091.14.	Magician shoots an arrow of each finger against enemy.
D2091.15.	Magic earth-slip overcomes enemies.
D2091.16.	Enemy magically enclosed within walls.
D2092.	Man caused to sink into mud.
D2093.	Walls overthrown by magic (Jericho).
D2094.	Pestilence magically sent upon (domestic) animals.
D2095.	Magic disappearance.
D2095.1.	Magic village and people disappear by magic.
D2096.	Magic putrefaction.
D2097.	Magic trouble-making.
D2098.	Ship magically sunk.
D2099.	Miscellaneous destructive magic powers.
D2099.1.	Loss of skill through magic.
D2099.2.	Magic banishment.
D2099.3.	House crushed by magic.
D2099.4.	Calabashes broken by magic.
D2100.	Magic wealth
D2100.1.	Inexhaustible treasure.
D2100.2.	Coin multiplies itself.
D2101.	Treasure magically discovered.
D2101.1.	Treasure found by sprinkling ground with blood of white cock.
D2101.2.	Shower of jewels magically drawn from sky.
D2102.	Gold magically produced.
D2102.1.	Gold vomited.
D2102.2.	Valley fills with gold at command.
D2102.2.1.	Field turns to gold after ascetic plows it.
D2102.3.	Saint magically produces treasure.
D2102.4.	"Golden" son of supernatural bride of king has the power of producing gold and gold buildings, ornaments etc.
D2102.5.	Magic corn eaten by animal becomes gold.
D2103.	Silver magically produced.
D2105.	Provisions magically furnished.
D2105.1.	Provisions provided in answer to prayer.
D2105.1.1.	Starvation prevented by composition of hymn.
D2105.2.	Provisions provided by messenger from heaven.
D2105.3.	Rubbish magically becomes food and clothing.
D2105.3.1.	Trash magically becomes food.
D2105.4.	Drink magically furnished.
D2105.5.	Saint causes fish to come out of lake to satisfy guests for whom he has no food.
D2105.6.	Showers of grain called down.
D2105.7.	Fruit obtained from tree by magic.
D2106.	Magic multiplication of objects.
D2106.1.	Magic multiplication of objects by saints.
D2106.1.1.	Saint causes waters to be filled with fish.
D2106.1.1.1.	Fish caught in waterless field.
D2106.1.2.	Animals miraculously multiplied.
D2106.1.3.	Multiplication of metal by saint.
D2106.1.4.	Multiplication of the corpse of saint when different communities claim the body.
D2106.1.5.	Multiplication of food by saint.
D2106.2.	One sack of charcoal makes a hundred.
D2106.3.	Tree with all sorts of cakes hanging from its branches springs from one cake.
D2107.	Warrior's equipment magically furnished.
D2107.1.	Horse and weapons needed by hero are provided after incense is offered to Nandia, the Bull.
D2120.	Magic transportation
D2121.	Magic journey.
D2121.1.	Magic journey by wishing.
D2121.2.	Magic journey with closed eyes.
D2121.3.	Magic journey through power of imagination.
D2121.4.	Magic journey by making distance vanish.
D2121.5.	Magic journey: man carried by spirit or devil.
D2121.6.	Magic journey during which one must not think good or evil.
D2121.7.	Magic journey in cloud.
D2121.7.1.	Magic journey in cloud of fire.
D2121.7.2.	Magic journey in whirl of snow.
D2121.7.3.	Magic transportation on smoke.
D2121.8.	Magic journey by throwing knife into whirlwind.
D2121.9.	Magic transportation from kick of a horse.
D2121.10.	Magic journey on sunbeam.
D2121.11.	Magic journey: man left on land appears in ship.
D2121.12.	Power to go through closed doors.
D2121.13.	Sailing in a leaky boat without sinking.
D2121.14.	Saint rides on thorn tree and drags its roots through earth to dig out canal.
D2121.15.	Magic compulsion to make journey.
D2122.	Journey with magic speed.
D2122.0.1.	Journey to otherworld with magic speed.
D2122.1.	Magic speed by eating magic grains (medicine).
D2122.2.	Hundred-league stride.
D2122.3.	Magic journey as swift as thought.
D2122.4.	Journey with speed of angels.
D2122.5.	Journey with magic speed by saint.
D2125.	Magic journey over water.
D2125.0.1.	Saint causes earth to rise underfoot, enabling him to cross water.
D2125.0.2.	Saint drives over bog as over land.
D2125.1.	Magic power to walk on water.
D2125.1.1.	Magic transportation by waves.
D2125.1.1.1.	Saint rides blessed wave.
D2125.2.	Magic transportation on a sheet of ice.
D2125.3.	Person crosses water in chariot.
D2126.	Magic underwater journey.
D2131.	Magic underground journey.
D2135.	Magic air journey.
D2135.0.1.	Levitation.
D2135.0.2.	Object magically raised in air.
D2135.0.2.1.	Stone cross magically raised in air.
D2135.0.3.	Magic ability to fly.
D2135.1.	Power of flying from eating children's hearts.
D2135.2.	Magic air journey from biting an ear.
D2135.3.	Stones fly through the air at saint's bidding.
D2135.4.	Magic transportation to highest summit by divine power.
D2135.5.	Objects sent through air.
D2136.	Objects magically moved.
D2136.1.	Rocks moved by magic.
D2136.2.	Castle magically transported.
D2136.2.1.	Mosque turns around in order to face in the true direction of Mecca after prayers of two saints.
D2136.2.2.	Sunken palace magically raised.
D2136.3.	Mountains (hills) magically transported.
D2136.3.1.	Mountain moved by prayer.
D2136.4.	Lake magically transported.
D2136.4.1.	Saint drives lake into sea.
D2136.5.	Saint's possessions magically transported.
D2136.6.	Island magically transported.
D2136.7.	Well magically transported.
D2136.8.	Ship moved by sacrifice.
D2136.9.	Magic house removed.
D2136.10.	Objects magically sent to certain place.
D2137.	Natural law suspended.
D2137.1.	Witch keeps water from boiling.
D2140.	Magic control of the elements
D2140.1.	Control of weather by saint's prayers.
D2140.1.1.	Saint has power to control winds and storms at will.
D2140.2.	Shaman's wife controls weather.
D2140.3.	Weather changed on confession of deed.
D2141.	Storm produced by magic.
D2141.0.1.	Storm from calling on evil spirit.
D2141.0.2.	Storm from calling up spirits to help find buried treasure.
D2141.0.3.	Storms produced by devil.
D2141.0.4.	Storm at death of wizard.
D2141.0.5.	Storm at death of wicked person.
D2141.0.6.	Storm because of bird's singing.
D2141.0.7.	Storm raised by incantation.
D2141.0.7.1.	Storm produced by prayer.
D2141.0.8.	Storms raised by druids.
D2141.0.8.1.	Storm calmed by wizard (druid).
D2141.0.9.	Storm raised by saint.
D2141.0.10.	Woman hoists skirt to raise thunderstorm.
D2141.0.11.	Magic storm produced by animal.
D2141.0.11.1.	Magic storm produced by serpent.
D2141.0.12.	Magic storm by pointing root of tree at sky.
D2141.1.	Storm magically stilled.
D2141.1.1.	Church bell rung as protection against storm.
D2141.2.	Storm raised to defeat enemy.
D2142.	Winds controlled by magic.
D2142.0.1.	Magician (witch) controls winds.
D2142.0.1.1.	Witch sells power to control winds.
D2142.0.1.2.	Witch sits atop mast, causes winds to blow.
D2142.0.2.	Saint controls winds.
D2142.0.3.	Druid controls winds.
D2142.0.4.	Leper controls winds.
D2142.0.5.	Wind controlled by girl's spirit.
D2142.1.	Wind produced by magic.
D2142.1.1.	Wind raised by dog's wagging tail.
D2142.1.2.	Wind raised by loosing certain knots.
D2142.1.3.	Wind raised by calling on devil.
D2142.1.4.	Wind raised by troubling vessel of water.
D2142.1.4.1.	Wind raised by throwing traitor's ashes into lake.
D2142.1.5.	Wind raised by putting cat under bushel (barrel) (drowning cat).
D2142.1.6.	Wind raised by whistling.
D2142.1.6.1.	Wind raised by blowing into tobacco pipe.
D2142.2.	Wind stilled by magic.
D2142.2.1.	Wind stopped by revenant.
D2143.	Precipitation controlled by magic.
D2143.1.	Rain produced by magic.
D2143.1.0.1.	Rain caused to fall in certain place (by rain-god).
D2143.1.0.2.	No rain falls on religious man.
D2143.1.1.	Rain produced by pouring water.
D2143.1.2.	Rain produced by singing.
D2143.1.3.	Rain produced by prayer.
D2143.1.4.	Rain produced by spitting blood toward sky.
D2143.1.5.	Rain produced by plowing.
D2143.1.6.	Shower from magic anvil.
D2143.1.7.	Rain produced by striking rock.
D2143.1.8.	Rainstorm produced by emptying contents of bag in road.
D2143.1.9.	Witch draws rain or snow from clouds with wave of his hand.
D2143.1.10.	Wizard sells charm to raise rainstorm to enable eloping couple to escape pursuers.
D2143.1.11.	Certain man must laugh in order for it to rain.
D2143.1.12.	Arrival of saint brings rain to rainless land.
D2143.1.13.	White elephant can make rain fall.
D2143.2.	Drought produced by magic.
D2143.2.1.	Church spared in flood because of prayers.
D2143.2.2.	Magic spear stuck in earth dries up spring.
D2143.3.	Fog produced by magic.
D2143.3.1.	Heavy fog is at once dispelled by a saint.
D2143.4.	Hail produced by magic.
D2143.4.1.	Hail produced by whistling tune.
D2143.5.	Frost produced by magic.
D2143.5.1.	Old woman has control over frost.
D2143.6.	Magic control of snow.
D2143.6.1.	Snow taken away by planting certain root.
